timestamp,service,event,severity
09:00,auth-service,SERVICE_START,INFO
09:01,auth-service,CPU_NORMAL,INFO
09:02,auth-service,MEMORY_NORMAL,INFO
09:03,auth-service,REQUEST_SPIKE,LOW
09:04,auth-service,ALERT_RAISED,MEDIUM
09:05,auth-service,ALERT_ACKNOWLEDGED,LOW
09:06,auth-service,CPU_NORMAL,INFO
09:07,auth-service,REQUEST_NORMAL,INFO
09:08,auth-service,HEALTH_CHECK_OK,INFO
09:09,auth-service,HEALTH_CHECK_OK,INFO

09:10,payment-service,SERVICE_START,INFO
09:11,payment-service,CPU_NORMAL,INFO
09:12,payment-service,REQUEST_SPIKE,LOW
09:13,payment-service,ALERT_RAISED,HIGH
09:14,payment-service,CPU_SPIKE,MEDIUM
09:15,payment-service,ALERT_IGNORED,HIGH
09:16,payment-service,REQUEST_SPIKE,MEDIUM
09:17,payment-service,MANUAL_OVERRIDE,MEDIUM
09:18,payment-service,MEMORY_HIGH,MEDIUM
09:19,payment-service,ALERT_IGNORED,HIGH
09:20,payment-service,SERVICE_CRASH,CRITICAL

09:21,order-service,SERVICE_START,INFO
09:22,order-service,REQUEST_SPIKE,LOW
09:23,order-service,CPU_NORMAL,INFO
09:24,order-service,ALERT_RAISED,MEDIUM
09:25,order-service,ALERT_ACKNOWLEDGED,LOW
09:26,order-service,REQUEST_NORMAL,INFO
09:27,order-service,HEALTH_CHECK_OK,INFO
09:28,order-service,HEALTH_CHECK_OK,INFO
09:29,order-service,HEALTH_CHECK_OK,INFO
09:30,order-service,HEALTH_CHECK_OK,INFO

10:00,payment-service,SERVICE_RESTART,INFO
10:01,payment-service,CPU_NORMAL,INFO
10:02,payment-service,REQUEST_SPIKE,LOW
10:03,payment-service,ALERT_RAISED,HIGH
10:04,payment-service,CPU_SPIKE,MEDIUM
10:05,payment-service,ALERT_IGNORED,HIGH
10:06,payment-service,REQUEST_SPIKE,MEDIUM
10:07,payment-service,MANUAL_OVERRIDE,MEDIUM
10:08,payment-service,MEMORY_HIGH,MEDIUM
10:09,payment-service,ALERT_IGNORED,HIGH
10:10,payment-service,SERVICE_CRASH,CRITICAL

10:11,notification-service,SERVICE_START,INFO
10:12,notification-service,QUEUE_BACKLOG,LOW
10:13,notification-service,ALERT_RAISED,MEDIUM
10:14,notification-service,ALERT_ACKNOWLEDGED,LOW
10:15,notification-service,QUEUE_NORMAL,INFO
10:16,notification-service,HEALTH_CHECK_OK,INFO
10:17,notification-service,HEALTH_CHECK_OK,INFO
10:18,notification-service,HEALTH_CHECK_OK,INFO
10:19,notification-service,HEALTH_CHECK_OK,INFO
10:20,notification-service,HEALTH_CHECK_OK,INFO

11:00,payment-service,SERVICE_RESTART,INFO
11:01,payment-service,CPU_NORMAL,INFO
11:02,payment-service,REQUEST_SPIKE,LOW
11:03,payment-service,ALERT_RAISED,HIGH
11:04,payment-service,CPU_SPIKE,MEDIUM
11:05,payment-service,ALERT_IGNORED,HIGH
11:06,payment-service,REQUEST_SPIKE,MEDIUM
11:07,payment-service,MANUAL_OVERRIDE,MEDIUM
11:08,payment-service,MEMORY_HIGH,MEDIUM
11:09,payment-service,ALERT_IGNORED,HIGH
11:10,payment-service,SERVICE_CRASH,CRITICAL
